pl_orbper,pl_orbsmax,pl_orbeccen,pl_trandur,pl_trandep,pl_imppar,pl_eqt,pl_insol,pl_bmasse,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,pl_rade
8.041,0.06482,0.0,2.6319,0.05904,0.65,507.0,51.623,2.8,4660.0,0.54,0.56,0.2291,4.72,259.533,1.6
38.871826,0.217,0.0,6.125,0.10049,0.46,509.0,16.464,48.5,5619.0,0.915,0.927,-0.11,4.468,692.14,2.87
4.971252,0.059,0.0,3.3648,1.04,0.23,1120.0,238.875,95.349,5510.0,1.05,1.11,0.29,4.44,271.103,11.65736
3.3564227,0.0427,0.193,2.46,1.49,0.1,1120.0,278.8533,1875.197,5130.0,0.88,0.92,0.15,4.515,290.946,11.65736
6.124821,0.068,0.0,3.467,0.01484,0.59,1140.0,353.973,3.05,6090.0,1.264,1.072,-0.08,4.278,625.339,1.56
1.732342,0.028,0.0,2.186,0.01824,0.02,1546.0,1572.309,2.3,5774.0,1.044,0.95,-0.0593,4.389,773.713,1.32
3.3252725,0.03623,0.0,2.04096,3.23,0.427,712.8,47.3315,101.38777,3724.0,0.57,0.574,0.2,4.683,169.318,11.186582
15.413135,0.13351,0.02,6.6095,0.02468,0.315,944.0,213.731,12.5,6197.21,1.64162,1.19,0.1278,4.08307,455.982,2.62
12.04,0.08347,0.0,2.7363,0.13169,0.85,502.0,15.62,4.3,4385.0,0.59,0.64,-0.18,4.7,348.291,2.37
1.7208604,0.02897,0.0038,2.03459,1.05413,0.7942,1850.0,2144.307,299.07803,5750.0,1.287,1.167,0.27,4.3,1086.24,15.031269
13.749,0.12232,0.17,6.0538,0.04141,0.81,975.0,257.776,64.3,5883.0,1.7,1.21,0.1381,4.05,477.992,3.51
19.305772,0.14,0.0,4.192,0.07091,0.06,815.0,53.148,8.5,5918.0,1.091,0.842,-0.24,4.353,1194.15,2.85
12.645164,0.099,0.0,8.613,0.02004,0.02,741.0,287.5,1.98,5603.0,0.898,0.89,-0.03,4.444,1699.19,1.22
96.678988,0.397,0.0,6.276,0.09513,0.87,392.0,3.874,14.8,5676.0,1.066,0.852,-0.04,4.334,716.025,3.95
3.2467293,0.0446,0.066,3.124,0.69982,0.62,1544.0,1109.223,317.82,5800.0,1.35,1.12,0.15,4.22,1188.0,12.22
1.8555582,0.03101,0.0,2.4341,1.10373,0.672,1790.0,2036.749,177.98,5750.0,1.29,1.15,0.38,4.278,1093.08,14.46
7.51464,0.0827,0.14,4.965,0.00316,0.4,1199.0,557.205,17.6,6197.21,1.64162,1.19,0.1278,4.08307,455.982,0.837
3.1606296,0.03734,,,,0.459,,,734.16,4400.0,0.588,0.695,-0.03,4.63,747.959,10.548
26.136,0.1786,0.0,6.613,0.03622,0.842,782.0,83.237,14.9,6492.3,1.25,1.0,0.041,4.24,956.859,2.8
50.447,0.28635,0.0,7.159,0.03703,0.906,568.0,35.869,13.5,5800.0,0.96,1.06,0.34,4.49,1798.75,2.0
44.851896,0.246,0.0,3.584,0.07808,0.83,513.0,12.457,66.0,5806.0,1.032,0.963,0.117,4.402,835.86,3.26
2.633867,0.036,0.0,2.061,0.02598,0.09,1131.0,428.407,2.36,5411.0,0.808,0.915,0.17,4.584,824.31,1.34
3.137873,0.04,0.0,1.888,0.03057,0.16,1041.0,255.584,2.15,5333.0,0.749,0.81,-0.04,4.619,609.283,1.27
4.13827595,0.05087,0.0,3.449,0.00638,0.7654,1324.0,738.183,1.08,6126.0,1.18,1.13,0.01,4.34,852.204,1.03
2.34121,0.03651,0.0,2.6832,1.0,0.653,1772.0,934.465,394.1092,6075.0,1.42,1.43,0.0,4.26,322.114,15.46842
4.322482,0.052,0.0,3.3552,1.082,0.23,1333.0,705.0438,95.345,5800.0,1.06,1.01,-0.22,4.277,258.426,11.99
1.1980035,0.01589,0.0,0.95,0.11503177,0.336,773.0,59.4,1.86,3347.0,0.364,0.36,0.11,4.81,27.3644,1.264
1.630757,0.0199,0.02,1.4,6.805,0.402,737.0,49.0,343.0,3430.0,0.394,0.392,0.0,4.84,86.4493,11.6
5.436098,0.0341,0.0,1.5419673,0.38,0.3,388.0,3.7,2.67,3212.0,0.211,0.179,,5.04,38.0749,1.44
2.18053332,0.03552,0.03,2.92728,1.416,0.171,1759.0,1860.0,434.15360396,6180.0,1.236,1.256,0.337,4.353,314.995,16.06246934
12.699149,0.104,0.0,2.819,0.07974,0.24,686.0,38.366,5.65,5615.0,0.814,0.766,-0.26,4.58,1031.95,2.24
13.72465129,0.11664,0.0,6.9296,0.02818,0.71,831.0,229.311,4.94,5865.0,1.11,1.04,0.04,4.36,974.124,2.07
67.093408,0.316,0.0,6.931,0.12939,0.13,420.0,7.885,10.6,5644.0,0.967,0.96,0.0,4.438,521.054,3.25
15.660544,0.13,0.0,7.006,0.03841,0.03,758.0,196.402,7.32,6169.0,1.352,1.11,-0.02,4.249,1208.44,2.61
114.73635,0.481,0.036,11.878,0.485,0.727,478.0,9.203,324.2,5600.0,1.82,1.1,-0.17,3.96,1232.9,13.49
8.8849116,0.0818,0.57,2.0778,1.76704,0.13,767.0,106.484,3209.9,5200.0,0.89,0.91,0.3,4.5,835.356,11.77
7.340711,0.0781,0.0,3.082,0.86795,0.685,1078.0,337.682,200.22,6000.0,1.12,1.18,0.42,4.44,1177.55,10.76
42.882,0.26244,0.11,9.7471,0.04089,0.742,709.0,67.193,79.4,6022.0,1.85,1.32,-0.0014,4.02,566.85,4.32
34.921,0.2199,0.0,9.874,0.05,0.03,602.0,57.079,28.5,6064.0,1.06,1.15,0.08,4.44,2213.19,2.3
8.990889,0.087,0.0,4.083,0.04697,0.11,960.0,209.101,7.27,5979.0,1.205,1.042,-0.0499,4.306,623.609,2.6
8.01041,0.08,0.0,4.216,0.02941,0.21,940.0,237.43,3.53,6012.0,1.024,0.976,0.07,4.437,1047.03,1.7
6.738975,0.056,0.0,3.018,0.06013,0.45,579.0,38.883,1.87,3682.0,0.48,0.593,-0.04,4.783,561.101,1.2
22.0459018,0.1572,0.0,5.06,0.08048,0.918,640.0,79.722,13.5,5993.0,1.14,1.11,0.09,4.37,1976.05,3.74
21.40239,0.1652,0.0,11.721,0.04093,0.943,1087.0,317.206,181.0,4840.0,4.23,1.32,0.2,3.31,912.994,9.8
4.1877558,0.0515,0.0,3.1176,1.08,0.55,1230.0,397.4799,378.2,5430.0,1.13,1.04,0.05,4.35,276.211,12.78
7.79430132,0.0769,0.123,1.135,0.33874,1.076,882.0,119.039,435.41,5493.0,1.05,1.0,0.07,4.4,268.041,18.49
7.693641,0.079,0.0,5.05,0.03036,0.72,1069.0,540.034,6.12,6091.0,1.26,1.126,-0.1489,4.28,1187.47,2.35
36.924931,0.217,0.0,4.723,0.0902,0.03,530.0,15.054,7.75,5938.0,0.898,0.867,-0.09,4.532,1002.14,2.7
19.254196,0.144,0.0,4.533,0.09877,0.5,657.0,28.944,9.64,5804.0,0.957,0.934,0.1,4.504,974.633,3.07
