pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
1.62892911,0.0157,1.19151465,1.83704819,0.0118,19.3,583.8,88.16,0.504,0.2443,0.76646,3229,0.2211,0.1945,-0.17,12.613
8.929,0.0476,1.52,2.91,0.19,,300,,,,,3090,0.226,0.198,-0.18,12.613
9.6412,0.0835,2.11,5.12,0,58.4,,,,,,5033.8,0.837,0.836,0.13,28.5159
41.38,0.166,11.9,96.7,0.38,,,,,,,3287,0.358519,0.344045,0.1596,11.0143
532.58,0.912,9.71,68.06,0.342,,,,,,,3287,0.358519,0.344045,0.1596,11.0143
389.7,0.5714,3.25,10.62,,,,,,,,3280,0.1781,0.1639,-0.12,8.03625
1.580404531,0.01505,2.733,8.41,0.0062,17.2,567,88.98,0.264,1.343,0.86966,3101,0.2162,0.182,0.24,14.6427
0.5182331,0.00915,1.193,1.32,0,233,1090,85,0.44,0.0831892,0.724,3458,0.391,0.381,0.1,20.373
3.6511,0.026,2.63,7.4,0.04,,,,,,,3236,0.192,0.178,-0.04,10.2525
111.74,0.27,2.38,6.27,0,,150,,,,,3296,0.245012,0.21,0.02,8.35147
35.61253,0.1915,2.61,22.7,0.188,7.0423,422,89.33,0.587,0.13976487,3.23,4640,0.695,0.73,0.003,16.32
11.4407,0.072,1.55,3.03,0.094,,550,,,,,3607,0.38,0.38,-0.34,3.56228
7600,5.4,6.67,36,0.27,,,,,,,3607,0.38,0.38,-0.34,3.56228
5.2354,0.053,3.17,10.2,0.06,,,,,,,4347,0.655173,0.69,,25.8557
8.63182,0.0607,3.25,10.6,0.073,,,,,,,3500,0.409738,0.4,0.1,15.1285
25.63058,0.1254,2.5,6.8,0.099,,,,,,,3500,0.409738,0.4,0.1,15.1285
603.95116,1.0304,5.92,29.4,0.373,,,,,,,3500,0.409738,0.4,0.1,15.1285
2288,2.41,13.8,301.9369867,0.21,,,61,,,,3370,0.38,0.357,0.3,12.356
17.133,0.092,2.43,6.49,0.07,,,,,,,3371,0.413049,0.43,,11.9407
24.329,0.129,2.41,6.4,0.09,,,,,,,3371,0.413049,0.43,,11.9407
106.3,0.309,2.66,7.56,0.14,,,,,,,3371,0.413049,0.43,,11.9407
2.38129,0.034,2.03,4.76742611,0.239,,,,,,,5485,2.24104,0.96,-0.4,37.0788
25533.11353,16.761,12.3,4069.157095,0.041,,,16.999,,,,5485,2.24104,0.96,-0.4,37.0788
69.971,0.283,4.17,16.2,0.72,,,,,,,4069.95,0.709495,0.62,,28.4434
272.7,0.71,13.6,413.1769291,0.85,,,,,,,4159,0.728,0.65,0.6,38.129
121.93268,0.384,2.87,8.58136699,0.366,,,,,,,3564,0.46,0.509,,5.75624
579.47495,1.086,3.97,14.93793513,0.404,,,,,,,3564,0.46,0.509,,5.75624
1.7446999,0.02123,0.566,0.126,,229.4579,758,89.99,0.202,0.01604643,1.239,3485,0.4314,0.4193,0.15,15.2142
14.237,0.0808,1.79,3.85,0,2.37,336,,,,,3342,0.36,0.35,0.07,5.58057
53.647,0.196,1.8,3.88,0,0.404,216,,,,,3342,0.36,0.35,0.07,5.58057
15.819,0.101,3.66,13,0.08,,,,,,,3542,0.518887,0.53,,23.6062
18.6498,0.091101,1.51,2.89,0.1,1.06,,,,,,3382,0.293,0.29,0.09,5.921535
4.7234,0.036467,1.06,1.18,0.17,6.66,,,,,,3382,0.293,0.29,0.09,5.921535
133.71,0.49,13.1,1071.04,0.511,,350,,,,,5540,0.9,0.9,0.1,17.5559
11.949,0.079,2.79,8.2,0.22,,,,,,,3910,0.465216,0.47,,16.6186
2.85310198,0.0316,2.18,4.52,0.25,45.4,723,86.9,0.7,0.15471069,1.281,3707,0.516,0.519,0.12,22.4751
15.9407,0.0997,3.14,10,0,4.58,407.2,,2.22,,,3707,0.516,0.519,0.12,22.4751
1.22003,0.0197,1.18,1.78,0.19,118.1,,,,,,3717,0.5,0.681,-0.3,28.4712
5.974,0.057,1.88,4.18,0.11,13.9,,,,,,3717,0.5,0.681,-0.3,28.4712
257.8,0.698,3.23,10.5,0.32,0.1,,,,,,3717,0.5,0.681,-0.3,28.4712
695.69,1.138,13.3,794.5,0.0826,,,45,,,,3496,0.403,0.402,-0.02,15.1968
6500,5.04,13.6,454.494622,0.217,,,,,,,3496,0.403,0.402,-0.02,15.1968
10.66669,0.091,3.4,11.44182265,0.929,,,,,,,5257.46,0.931389,0.89,0.16,18.23817
3771,4.11,13.3,797.7493016,0.227,,,,,,,3897,0.63,0.65,-0.06,20.5266
241.8,0.657,4.91,21.4,,,,,,,,3897,0.63,0.65,-0.06,20.5266
30.5987,0.14339,5.19,23.54,0.06,1.07,,,,,,3466,0.404,0.42,0.02,20.1903
122.6196,0.36175,4.87,21.09,0.11,0.17,,,,,,3466,0.404,0.42,0.02,20.1903
48.1345,0.19394,2.67,7.6,0.12,0.59,,,,,,3466,0.404,0.42,0.02,20.1903
13.2543,0.08208,1.63,3.28,0.21,3.34,,,,,,3466,0.404,0.42,0.02,20.1903
